;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 23-Jan-20 23:05:58
;----------------------------------------------

;Address Opcode 	ASM
0x0635	0x2E7A      	GOTO       L_stopWatchMode87
0x0636	0x1303      	BCF        STATUS, 6
0x0637	0x300A      	MOVLW      10
0x0638	0x00F4      	MOVWF      R4
0x0639	0x3000      	MOVLW      0
0x063A	0x00F5      	MOVWF      R4+1
0x063B	0x0835      	MOVF       _countS, 0
0x063C	0x00F0      	MOVWF      R0
0x063D	0x0836      	MOVF       _countS+1, 0
0x063E	0x00F1      	MOVWF      R0+1
0x063F	0x231A      	CALL       _Div_16x16_S
0x0640	0x3030      	MOVLW      48
0x0641	0x0770      	ADDWF      R0, 0
0x0642	0x1703      	BSF        STATUS, 6
0x0643	0x0090      	MOVWF      _cntS1
0x0644	0x0871      	MOVF       R0+1, 0
0x0645	0x1803      	BTFSC      STATUS, 0
0x0646	0x3E01      	ADDLW      1
0x0647	0x0091      	MOVWF      _cntS1+1
0x0648	0x300A      	MOVLW      10
0x0649	0x00F4      	MOVWF      R4
0x064A	0x3000      	MOVLW      0
0x064B	0x00F5      	MOVWF      R4+1
0x064C	0x1303      	BCF        STATUS, 6
0x064D	0x0835      	MOVF       _countS, 0
0x064E	0x00F0      	MOVWF      R0
0x064F	0x0836      	MOVF       _countS+1, 0
0x0650	0x00F1      	MOVWF      R0+1
0x0651	0x231A      	CALL       _Div_16x16_S
0x0652	0x0878      	MOVF       R8, 0
0x0653	0x00F0      	MOVWF      R0
0x0654	0x0879      	MOVF       R8+1, 0
0x0655	0x00F1      	MOVWF      R0+1
0x0656	0x3030      	MOVLW      48
0x0657	0x0770      	ADDWF      R0, 0
0x0658	0x1683      	BSF        STATUS, 5
0x0659	0x00EC      	MOVWF      _cntS2
0x065A	0x0871      	MOVF       R0+1, 0
0x065B	0x1803      	BTFSC      STATUS, 0
0x065C	0x3E01      	ADDLW      1
0x065D	0x00ED      	MOVWF      _cntS2+1
0x065E	0x3002      	MOVLW      2
0x065F	0x1283      	BCF        STATUS, 5
0x0660	0x1703      	BSF        STATUS, 6
0x0661	0x00A7      	MOVWF      FARG_Lcd_Chr_row
0x0662	0x300A      	MOVLW      10
0x0663	0x00A8      	MOVWF      FARG_Lcd_Chr_column
0x0664	0x0810      	MOVF       _cntS1, 0
0x0665	0x00A9      	MOVWF      FARG_Lcd_Chr_out_char
0x0666	0x22E3      	CALL       _Lcd_Chr
0x0667	0x3002      	MOVLW      2
0x0668	0x00A7      	MOVWF      FARG_Lcd_Chr_row
0x0669	0x300B      	MOVLW      11
0x066A	0x00A8      	MOVWF      FARG_Lcd_Chr_column
0x066B	0x1683      	BSF        STATUS, 5
0x066C	0x1303      	BCF        STATUS, 6
0x066D	0x086C      	MOVF       _cntS2, 0
0x066E	0x1283      	BCF        STATUS, 5
0x066F	0x1703      	BSF        STATUS, 6
0x0670	0x00A9      	MOVWF      FARG_Lcd_Chr_out_char
0x0671	0x22E3      	CALL       _Lcd_Chr
0x0672	0x1303      	BCF        STATUS, 6
0x0673	0x0835      	MOVF       _countS, 0
0x0674	0x1703      	BSF        STATUS, 6
0x0675	0x0099      	MOVWF      stopWatchMode_cntSOldState_L0
0x0676	0x1303      	BCF        STATUS, 6
0x0677	0x0836      	MOVF       _countS+1, 0
0x0678	0x1703      	BSF        STATUS, 6
0x0679	0x009A      	MOVWF      stopWatchMode_cntSOldState_L0+1
L_stopWatchMode87:
0x067A	0x1303      	BCF        STATUS, 6
0x067B	0x0832      	MOVF       _minsS+1, 0
0x067C	0x1703      	BSF        STATUS, 6
0x067D	0x061E      	XORWF      stopWatchMode_minOldState_L0+1, 0
0x067E	0x1D03      	BTFSS      STATUS, 2
0x067F	0x2E83      	GOTO       L__stopWatchMode194
0x0680	0x081D      	MOVF       stopWatchMode_minOldState_L0, 0
0x0681	0x1303      	BCF        STATUS, 6
0x0682	0x0631      	XORWF      _minsS, 0
L__stopWatchMode194:
0x0683	0x1903      	BTFSC      STATUS, 2
0x0684	0x2ECD      	GOTO       L_stopWatchMode88
0x0685	0x1303      	BCF        STATUS, 6
0x0686	0x300A      	MOVLW      10
0x0687	0x00F4      	MOVWF      R4
0x0688	0x3000      	MOVLW      0
0x0689	0x00F5      	MOVWF      R4+1
0x068A	0x0831      	MOVF       _minsS, 0
0x068B	0x00F0      	MOVWF      R0
0x068C	0x0832      	MOVF       _minsS+1, 0
0x068D	0x00F1      	MOVWF      R0+1
0x068E	0x231A      	CALL       _Div_16x16_S
0x068F	0x3030      	MOVLW      48
0x0690	0x0770      	ADDWF      R0, 0
0x0691	0x1683      	BSF        STATUS, 5
0x0692	0x00EE      	MOVWF      _minsS1
0x0693	0x0871      	MOVF       R0+1, 0
0x0694	0x1803      	BTFSC      STATUS, 0
0x0695	0x3E01      	ADDLW      1
0x0696	0x00EF      	MOVWF      _minsS1+1
0x0697	0x300A      	MOVLW      10
0x0698	0x00F4      	MOVWF      R4
0x0699	0x3000      	MOVLW      0
0x069A	0x00F5      	MOVWF      R4+1
0x069B	0x1283      	BCF        STATUS, 5
0x069C	0x0831      	MOVF       _minsS, 0
0x069D	0x00F0      	MOVWF      R0
0x069E	0x0832      	MOVF       _minsS+1, 0
0x069F	0x00F1      	MOVWF      R0+1
0x06A0	0x231A      	CALL       _Div_16x16_S
0x06A1	0x0878      	MOVF       R8, 0
0x06A2	0x00F0      	MOVWF      R0
0x06A3	0x0879      	MOVF       R8+1, 0
0x06A4	0x00F1      	MOVWF      R0+1
0x06A5	0x3030      	MOVLW      48
0x06A6	0x0770      	ADDWF      R0, 0
0x06A7	0x1683      	BSF        STATUS, 5
0x06A8	0x00EA      	MOVWF      _minsS2
0x06A9	0x0871      	MOVF       R0+1, 0
0x06AA	0x1803      	BTFSC      STATUS, 0
0x06AB	0x3E01      	ADDLW      1
0x06AC	0x00EB      	MOVWF      _minsS2+1
0x06AD	0x3002      	MOVLW      2
0x06AE	0x1283      	BCF        STATUS, 5
0x06AF	0x1703      	BSF        STATUS, 6
0x06B0	0x00A7      	MOVWF      FARG_Lcd_Chr_row
0x06B1	0x3004      	MOVLW      4
0x06B2	0x00A8      	MOVWF      FARG_Lcd_Chr_column
0x06B3	0x1683      	BSF        STATUS, 5
0x06B4	0x1303      	BCF        STATUS, 6
0x06B5	0x086E      	MOVF       _minsS1, 0
0x06B6	0x1283      	BCF        STATUS, 5
0x06B7	0x1703      	BSF        STATUS, 6
0x06B8	0x00A9      	MOVWF      FARG_Lcd_Chr_out_char
0x06B9	0x22E3      	CALL       _Lcd_Chr
0x06BA	0x3002      	MOVLW      2
0x06BB	0x00A7      	MOVWF      FARG_Lcd_Chr_row
0x06BC	0x3005      	MOVLW      5
0x06BD	0x00A8      	MOVWF      FARG_Lcd_Chr_column
0x06BE	0x1683      	BSF        STATUS, 5
0x06BF	0x1303      	BCF        STATUS, 6
0x06C0	0x086A      	MOVF       _minsS2, 0
0x06C1	0x1283      	BCF        STATUS, 5
0x06C2	0x1703      	BSF        STATUS, 6
0x06C3	0x00A9      	MOVWF      FARG_Lcd_Chr_out_char
0x06C4	0x22E3      	CALL       _Lcd_Chr
0x06C5	0x1303      	BCF        STATUS, 6
0x06C6	0x0831      	MOVF       _minsS, 0
0x06C7	0x1703      	BSF        STATUS, 6
0x06C8	0x009D      	MOVWF      stopWatchMode_minOldState_L0
0x06C9	0x1303      	BCF        STATUS, 6
0x06CA	0x0832      	MOVF       _minsS+1, 0
0x06CB	0x1703      	BSF        STATUS, 6
0x06CC	0x009E      	MOVWF      stopWatchMode_minOldState_L0+1
L_stopWatchMode88:
0x06CD	0x1303      	BCF        STATUS, 6
0x06CE	0x0838      	MOVF       _secsS+1, 0
0x06CF	0x1703      	BSF        STATUS, 6
0x06D0	0x061C      	XORWF      stopWatchMode_secOldState_L0+1, 0
0x06D1	0x1D03      	BTFSS      STATUS, 2
0x06D2	0x2ED6      	GOTO       L__stopWatchMode195
0x06D3	0x081B      	MOVF       stopWatchMode_secOldState_L0, 0
0x06D4	0x1303      	BCF        STATUS, 6
0x06D5	0x0637      	XORWF      _secsS, 0
L__stopWatchMode195:
0x06D6	0x1903      	BTFSC      STATUS, 2
0x06D7	0x2F20      	GOTO       L_stopWatchMode89
0x06D8	0x1303      	BCF        STATUS, 6
0x06D9	0x300A      	MOVLW      10
0x06DA	0x00F4      	MOVWF      R4
0x06DB	0x3000      	MOVLW      0
0x06DC	0x00F5      	MOVWF      R4+1
0x06DD	0x0837      	MOVF       _secsS, 0
0x06DE	0x00F0      	MOVWF      R0
0x06DF	0x0838      	MOVF       _secsS+1, 0
0x06E0	0x00F1      	MOVWF      R0+1
0x06E1	0x231A      	CALL       _Div_16x16_S
0x06E2	0x3030      	MOVLW      48
0x06E3	0x0770      	ADDWF      R0, 0
0x06E4	0x1683      	BSF        STATUS, 5
0x06E5	0x00D5      	MOVWF      _secsS1
0x06E6	0x0871      	MOVF       R0+1, 0
0x06E7	0x1803      	BTFSC      STATUS, 0
0x06E8	0x3E01      	ADDLW      1
0x06E9	0x00D6      	MOVWF      _secsS1+1
0x06EA	0x300A      	MOVLW      10
0x06EB	0x00F4      	MOVWF      R4
0x06EC	0x3000      	MOVLW      0
0x06ED	0x00F5      	MOVWF      R4+1
0x06EE	0x1283      	BCF        STATUS, 5
0x06EF	0x0837      	MOVF       _secsS, 0
0x06F0	0x00F0      	MOVWF      R0
0x06F1	0x0838      	MOVF       _secsS+1, 0
0x06F2	0x00F1      	MOVWF      R0+1
0x06F3	0x231A      	CALL       _Div_16x16_S
0x06F4	0x0878      	MOVF       R8, 0
0x06F5	0x00F0      	MOVWF      R0
0x06F6	0x0879      	MOVF       R8+1, 0
0x06F7	0x00F1      	MOVWF      R0+1
0x06F8	0x3030      	MOVLW      48
0x06F9	0x0770      	ADDWF      R0, 0
0x06FA	0x1683      	BSF        STATUS, 5
0x06FB	0x00D7      	MOVWF      _secsS2
0x06FC	0x0871      	MOVF       R0+1, 0
0x06FD	0x1803      	BTFSC      STATUS, 0
0x06FE	0x3E01      	ADDLW      1
0x06FF	0x00D8      	MOVWF      _secsS2+1
0x0700	0x3002      	MOVLW      2
0x0701	0x1283      	BCF        STATUS, 5
0x0702	0x1703      	BSF        STATUS, 6
0x0703	0x00A7      	MOVWF      FARG_Lcd_Chr_row
0x0704	0x3007      	MOVLW      7
0x0705	0x00A8      	MOVWF      FARG_Lcd_Chr_column
0x0706	0x1683      	BSF        STATUS, 5
0x0707	0x1303      	BCF        STATUS, 6
0x0708	0x0855      	MOVF       _secsS1, 0
0x0709	0x1283      	BCF        STATUS, 5
0x070A	0x1703      	BSF        STATUS, 6
0x070B	0x00A9      	MOVWF      FARG_Lcd_Chr_out_char
0x070C	0x22E3      	CALL       _Lcd_Chr
0x070D	0x3002      	MOVLW      2
0x070E	0x00A7      	MOVWF      FARG_Lcd_Chr_row
0x070F	0x3008      	MOVLW      8
0x0710	0x00A8      	MOVWF      FARG_Lcd_Chr_column
0x0711	0x1683      	BSF        STATUS, 5
0x0712	0x1303      	BCF        STATUS, 6
0x0713	0x0857      	MOVF       _secsS2, 0
0x0714	0x1283      	BCF        STATUS, 5
0x0715	0x1703      	BSF        STATUS, 6
0x0716	0x00A9      	MOVWF      FARG_Lcd_Chr_out_char
0x0717	0x22E3      	CALL       _Lcd_Chr
0x0718	0x1303      	BCF        STATUS, 6
0x0719	0x0837      	MOVF       _secsS, 0
0x071A	0x1703      	BSF        STATUS, 6
0x071B	0x009B      	MOVWF      stopWatchMode_secOldState_L0
0x071C	0x1303      	BCF        STATUS, 6
0x071D	0x0838      	MOVF       _secsS+1, 0
0x071E	0x1703      	BSF        STATUS, 6
0x071F	0x009C      	MOVWF      stopWatchMode_secOldState_L0+1
L_stopWatchMode89:
0x0720	0x2E01      	GOTO       L_stopWatchMode82
L_stopWatchMode83:
0x0721	0x1303      	BCF        STATUS, 6
0x0722	0x1112      	BCF        TMR2ON_bit, BitPos(TMR2ON_bit+0)
0x0723	0x01B5      	CLRF       _countS
0x0724	0x01B6      	CLRF       _countS+1
L_end_stopWatchMode:
0x0725	0x0008      	RETURN
; end of _stopWatchMode
_alarmActivatedMode:
0x0726	0x1283      	BCF        STATUS, 5
0x0727	0x1303      	BCF        STATUS, 6
0x0728	0x1607      	BSF        PORTC, 4
0x0729	0x300F      	MOVLW      15
0x072A	0x1683      	BSF        STATUS, 5
0x072B	0x00E8      	MOVWF      _submit
0x072C	0x3000      	MOVLW      0
0x072D	0x00E9      	MOVWF      _submit+1
0x072E	0x3001      	MOVLW      1
0x072F	0x1283      	BCF        STATUS, 5
0x0730	0x1703      	BSF        STATUS, 6
0x0731	0x00AA      	MOVWF      FARG_Lcd_Cmd_out_char
0x0732	0x2285      	CALL       _Lcd_Cmd
0x0733	0x3001      	MOVLW      1
0x0734	0x1703      	BSF        STATUS, 6
0x0735	0x009F      	MOVWF      FARG_Lcd_Out_row
0x0736	0x3001      	MOVLW      1
0x0737	0x00A0      	MOVWF      FARG_Lcd_Out_column
0x0738	0x30BD      	MOVLW      ?lstr3_PicADigitalClock
0x0739	0x00A1      	MOVWF      FARG_Lcd_Out_text
0x073A	0x23E9      	CALL       _Lcd_Out
0x073B	0x1683      	BSF        STATUS, 5
0x073C	0x1303      	BCF        STATUS, 6
0x073D	0x0844      	MOVF       _hrsA, 0
0x073E	0x1283      	BCF        STATUS, 5
0x073F	0x1703      	BSF        STATUS, 6
0x0740	0x009F      	MOVWF      FARG_convert_h
0x0741	0x1683      	BSF        STATUS, 5
0x0742	0x1303      	BCF        STATUS, 6
0x0743	0x0845      	MOVF       _hrsA+1, 0
0x0744	0x1283      	BCF        STATUS, 5
0x0745	0x1703      	BSF        STATUS, 6
0x0746	0x00A0      	MOVWF      FARG_convert_h+1
0x0747	0x1683      	BSF        STATUS, 5
0x0748	0x1303      	BCF        STATUS, 6
0x0749	0x083B      	MOVF       _minsA, 0
0x074A	0x1283      	BCF        STATUS, 5
0x074B	0x1703      	BSF        STATUS, 6
0x074C	0x00A1      	MOVWF      FARG_convert_m
0x074D	0x1683      	BSF        STATUS, 5
0x074E	0x1303      	BCF        STATUS, 6
0x074F	0x083C      	MOVF       _minsA+1, 0
0x0750	0x1283      	BCF        STATUS, 5
0x0751	0x1703      	BSF        STATUS, 6
0x0752	0x00A2      	MOVWF      FARG_convert_m+1
0x0753	0x01A3      	CLRF       FARG_convert_s
0x0754	0x01A4      	CLRF       FARG_convert_s+1
0x0755	0x30D9      	MOVLW      _text
0x0756	0x00A5      	MOVWF      FARG_convert_output
0x0757	0x238C      	CALL       _convert
0x0758	0x3002      	MOVLW      2
0x0759	0x009F      	MOVWF      FARG_Lcd_Out_row
0x075A	0x3001      	MOVLW      1
0x075B	0x00A0      	MOVWF      FARG_Lcd_Out_column
0x075C	0x30D9      	MOVLW      _text
0x075D	0x00A1      	MOVWF      FARG_Lcd_Out_text
0x075E	0x23E9      	CALL       _Lcd_Out
L_alarmActivatedMode80:
0x075F	0x3000      	MOVLW      0
0x0760	0x1303      	BCF        STATUS, 6
0x0761	0x063A      	XORWF      _mode+1, 0
0x0762	0x1D03      	BTFSS      STATUS, 2
0x0763	0x2F66      	GOTO       L__alarmActivatedMode186
0x0764	0x301E      	MOVLW      30
0x0765	0x0639      	XORWF      _mode, 0
L__alarmActivatedMode186:
0x0766	0x1D03      	BTFSS      STATUS, 2
0x0767	0x2F69      	GOTO       L_alarmActivatedMode81
0x0768	0x2F5F      	GOTO       L_alarmActivatedMode80
L_alarmActivatedMode81:
0x0769	0x1207      	BCF        PORTC, 4
L_end_alarmActivatedMode:
0x076A	0x0008      	RETURN
; end of _alarmActivatedMode
___CC2DW:
_CC2D_Loop1:
0x076B	0x255B      	CALL       _____DoICP
0x076C	0x118A      	BCF        PCLATH, 3
0x076D	0x120A      	BCF        PCLATH, 4
0x076E	0x0080      	MOVWF      INDF
0x076F	0x0A84      	INCF       FSR, 1
0x0770	0x0A97      	INCF       ___DoICPAddr, 1
0x0771	0x1903      	BTFSC      STATUS, 2
0x0772	0x0A98      	INCF       ___DoICPAddr+1, 1
0x0773	0x03F0      	DECF       R0, 1
0x0774	0x1D03      	BTFSS      STATUS, 2
0x0775	0x2F6B      	GOTO       _CC2D_Loop1
L_end___CC2DW:
0x0776	0x0008      	RETURN
; end of ___CC2DW
_calculateTime:
0x0777	0x3000      	MOVLW      0
0x0778	0x1283      	BCF        STATUS, 5
0x0779	0x1303      	BCF        STATUS, 6
0x077A	0x063A      	XORWF      _mode+1, 0
0x077B	0x1D03      	BTFSS      STATUS, 2
0x077C	0x2F7F      	GOTO       L__calculateTime126
0x077D	0x300A      	MOVLW      10
0x077E	0x0639      	XORWF      _mode, 0
L__calculateTime126:
0x077F	0x1903      	BTFSC      STATUS, 2
0x0780	0x2FC6      	GOTO       L_calculateTime2
0x0781	0x086E      	MOVF       _secsT, 0
0x0782	0x3E01      	ADDLW      1
0x0783	0x00F0      	MOVWF      R0
0x0784	0x3000      	MOVLW      0
0x0785	0x1803      	BTFSC      STATUS, 0
0x0786	0x3E01      	ADDLW      1
0x0787	0x076F      	ADDWF      _secsT+1, 0
0x0788	0x00F1      	MOVWF      R0+1
0x0789	0x0870      	MOVF       R0, 0
0x078A	0x00EE      	MOVWF      _secsT
0x078B	0x0871      	MOVF       R0+1, 0
0x078C	0x00EF      	MOVWF      _secsT+1
0x078D	0x3000      	MOVLW      0
0x078E	0x066F      	XORWF      _secsT+1, 0
0x078F	0x1D03      	BTFSS      STATUS, 2
0x0790	0x2F93      	GOTO       L__calculateTime127
0x0791	0x303C      	MOVLW      60
0x0792	0x066E      	XORWF      _secsT, 0
L__calculateTime127:
0x0793	0x1D03      	BTFSS      STATUS, 2
0x0794	0x2FAC      	GOTO       L_calculateTime3
0x0795	0x086C      	MOVF       _minsT, 0
0x0796	0x3E01      	ADDLW      1
0x0797	0x00F0      	MOVWF      R0
0x0798	0x3000      	MOVLW      0
0x0799	0x1803      	BTFSC      STATUS, 0
0x079A	0x3E01      	ADDLW      1
0x079B	0x076D      	ADDWF      _minsT+1, 0
0x079C	0x00F1      	MOVWF      R0+1
0x079D	0x0870      	MOVF       R0, 0
0x079E	0x00EC      	MOVWF      _minsT
0x079F	0x0871      	MOVF       R0+1, 0
0x07A0	0x00ED      	MOVWF      _minsT+1
0x07A1	0x01EE      	CLRF       _secsT
0x07A2	0x01EF      	CLRF       _secsT+1
0x07A3	0x3000      	MOVLW      0
0x07A4	0x0653      	XORWF      _alarmSET+1, 0
0x07A5	0x1D03      	BTFSS      STATUS, 2
0x07A6	0x2FA9      	GOTO       L__calculateTime128
0x07A7	0x3001      	MOVLW      1
0x07A8	0x0652      	XORWF      _alarmSET, 0
L__calculateTime128:
0x07A9	0x1D03      	BTFSS      STATUS, 2
0x07AA	0x2FAC      	GOTO       L_calculateTime4
0x07AB	0x2562      	CALL       _checkAlarm
L_calculateTime4:
L_calculateTime3:
0x07AC	0x3000      	MOVLW      0
0x07AD	0x1283      	BCF        STATUS, 5
0x07AE	0x1303      	BCF        STATUS, 6
0x07AF	0x066D      	XORWF      _minsT+1, 0
0x07B0	0x1D03      	BTFSS      STATUS, 2
0x07B1	0x2FB4      	GOTO       L__calculateTime129
0x07B2	0x303C      	MOVLW      60
0x07B3	0x066C      	XORWF      _minsT, 0
L__calculateTime129:
0x07B4	0x1D03      	BTFSS      STATUS, 2
0x07B5	0x2FC6      	GOTO       L_calculateTime5
0x07B6	0x1683      	BSF        STATUS, 5
0x07B7	0x0839      	MOVF       _hrsT, 0
0x07B8	0x3E01      	ADDLW      1
0x07B9	0x00F0      	MOVWF      R0
0x07BA	0x3000      	MOVLW      0
0x07BB	0x1803      	BTFSC      STATUS, 0
0x07BC	0x3E01      	ADDLW      1
0x07BD	0x073A      	ADDWF      _hrsT+1, 0
0x07BE	0x00F1      	MOVWF      R0+1
0x07BF	0x0870      	MOVF       R0, 0
0x07C0	0x00B9      	MOVWF      _hrsT
0x07C1	0x0871      	MOVF       R0+1, 0
0x07C2	0x00BA      	MOVWF      _hrsT+1
0x07C3	0x1283      	BCF        STATUS, 5
0x07C4	0x01EC      	CLRF       _minsT
0x07C5	0x01ED      	CLRF       _minsT+1
L_calculateTime5:
L_calculateTime2:
0x07C6	0x01AF      	CLRF       _countT
0x07C7	0x01B0      	CLRF       _countT+1
L_end_calculateTime:
0x07C8	0x0008      	RETURN
; end of _calculateTime
_editAlarmMode:
0x0800	0x1683      	BSF        STATUS, 5
0x0801	0x1303      	BCF        STATUS, 6
0x0802	0x01E8      	CLRF       _submit
0x0803	0x01E9      	CLRF       _submit+1
0x0804	0x3001      	MOVLW      1
0x0805	0x1283      	BCF        STATUS, 5
0x0806	0x1703      	BSF        STATUS, 6
0x0807	0x00AA      	MOVWF      FARG_Lcd_Cmd_out_char
0x0808	0x118A      	BCF        PCLATH, 3
0x0809	0x2285      	CALL       _Lcd_Cmd
0x080A	0x158A      	BSF        PCLATH, 3
0x080B	0x3001      	MOVLW      1
0x080C	0x1703      	BSF        STATUS, 6
0x080D	0x009F      	MOVWF      FARG_Lcd_Out_row
0x080E	0x3001      	MOVLW      1
0x080F	0x00A0      	MOVWF      FARG_Lcd_Out_column
0x0810	0x30AB      	MOVLW      ?lstr5_PicADigitalClock
0x0811	0x00A1      	MOVWF      FARG_Lcd_Out_text
0x0812	0x118A      	BCF        PCLATH, 3
0x0813	0x23E9      	CALL       _Lcd_Out
0x0814	0x158A      	BSF        PCLATH, 3
0x0815	0x1683      	BSF        STATUS, 5
0x0816	0x1303      	BCF        STATUS, 6
0x0817	0x0844      	MOVF       _hrsA, 0
0x0818	0x1283      	BCF        STATUS, 5
0x0819	0x1703      	BSF        STATUS, 6
0x081A	0x009F      	MOVWF      FARG_convert_h
0x081B	0x1683      	BSF        STATUS, 5
0x081C	0x1303      	BCF        STATUS, 6
0x081D	0x0845      	MOVF       _hrsA+1, 0
0x081E	0x1283      	BCF        STATUS, 5
0x081F	0x1703      	BSF        STATUS, 6
0x0820	0x00A0      	MOVWF      FARG_convert_h+1
0x0821	0x1683      	BSF        STATUS, 5
0x0822	0x1303      	BCF        STATUS, 6
0x0823	0x083B      	MOVF       _minsA, 0
0x0824	0x1283      	BCF        STATUS, 5
0x0825	0x1703      	BSF        STATUS, 6
0x0826	0x00A1      	MOVWF      FARG_convert_m
0x0827	0x1683      	BSF        STATUS, 5
0x0828	0x1303      	BCF        STATUS, 6
0x0829	0x083C      	MOVF       _minsA+1, 0
0x082A	0x1283      	BCF        STATUS, 5
0x082B	0x1703      	BSF        STATUS, 6
0x082C	0x00A2      	MOVWF      FARG_convert_m+1
0x082D	0x01A3      	CLRF       FARG_convert_s
0x082E	0x01A4      	CLRF       FARG_convert_s+1
0x082F	0x30D9      	MOVLW      _text
0x0830	0x00A5      	MOVWF      FARG_convert_output
0x0831	0x118A      	BCF        PCLATH, 3
0x0832	0x238C      	CALL       _convert
0x0833	0x158A      	BSF        PCLATH, 3
0x0834	0x3002      	MOVLW      2
0x0835	0x009F      	MOVWF      FARG_Lcd_Out_row
0x0836	0x3001      	MOVLW      1
0x0837	0x00A0      	MOVWF      FARG_Lcd_Out_column
0x0838	0x30D9      	MOVLW      _text
0x0839	0x00A1      	MOVWF      FARG_Lcd_Out_text
0x083A	0x118A      	BCF        PCLATH, 3
0x083B	0x23E9      	CALL       _Lcd_Out
0x083C	0x158A      	BSF        PCLATH, 3
L_editAlarmMode90:
0x083D	0x3000      	MOVLW      0
0x083E	0x1683      	BSF        STATUS, 5
0x083F	0x1303      	BCF        STATUS, 6
0x0840	0x0669      	XORWF      _submit+1, 0
0x0841	0x1D03      	BTFSS      STATUS, 2
0x0842	0x2845      	GOTO       L__editAlarmMode197
0x0843	0x3000      	MOVLW      0
0x0844	0x0668      	XORWF      _submit, 0
L__editAlarmMode197:
0x0845	0x1D03      	BTFSS      STATUS, 2
0x0846	0x2869      	GOTO       L_editAlarmMode91
0x0847	0x3000      	MOVLW      0
0x0848	0x1283      	BCF        STATUS, 5
0x0849	0x063A      	XORWF      _mode+1, 0
0x084A	0x1D03      	BTFSS      STATUS, 2
0x084B	0x284E      	GOTO       L__editAlarmMode198
0x084C	0x3014      	MOVLW      20
0x084D	0x0639      	XORWF      _mode, 0
L__editAlarmMode198:
0x084E	0x1D03      	BTFSS      STATUS, 2
0x084F	0x2869      	GOTO       L_editAlarmMode91
L__editAlarmMode120:
0x0850	0x3001      	MOVLW      1
0x0851	0x1703      	BSF        STATUS, 6
0x0852	0x009F      	MOVWF      FARG_blink_pos1
0x0853	0x3000      	MOVLW      0
0x0854	0x00A0      	MOVWF      FARG_blink_pos1+1
0x0855	0x3002      	MOVLW      2
0x0856	0x00A1      	MOVWF      FARG_blink_pos2
0x0857	0x3000      	MOVLW      0
0x0858	0x00A2      	MOVWF      FARG_blink_pos2+1
0x0859	0x1683      	BSF        STATUS, 5
0x085A	0x1303      	BCF        STATUS, 6
0x085B	0x0844      	MOVF       _hrsA, 0
0x085C	0x1283      	BCF        STATUS, 5
0x085D	0x1703      	BSF        STATUS, 6
0x085E	0x00A3      	MOVWF      FARG_blink_unit
0x085F	0x1683      	BSF        STATUS, 5
0x0860	0x1303      	BCF        STATUS, 6
0x0861	0x0845      	MOVF       _hrsA+1, 0
0x0862	0x1283      	BCF        STATUS, 5
0x0863	0x1703      	BSF        STATUS, 6
0x0864	0x00A4      	MOVWF      FARG_blink_unit+1
0x0865	0x118A      	BCF        PCLATH, 3
0x0866	0x250F      	CALL       _blink
0x0867	0x158A      	BSF        PCLATH, 3
0x0868	0x283D      	GOTO       L_editAlarmMode90
L_editAlarmMode91:
0x0869	0x3002      	MOVLW      2
0x086A	0x1283      	BCF        STATUS, 5
0x086B	0x1703      	BSF        STATUS, 6
0x086C	0x00A7      	MOVWF      FARG_Lcd_Chr_row
0x086D	0x3001      	MOVLW      1
0x086E	0x00A8      	MOVWF      FARG_Lcd_Chr_column
0x086F	0x300A      	MOVLW      10
0x0870	0x00F4      	MOVWF      R4
0x0871	0x3000      	MOVLW      0
0x0872	0x00F5      	MOVWF      R4+1
0x0873	0x1683      	BSF        STATUS, 5
0x0874	0x1303      	BCF        STATUS, 6
0x0875	0x0844      	MOVF       _hrsA, 0
0x0876	0x00F0      	MOVWF      R0
0x0877	0x0845      	MOVF       _hrsA+1, 0
0x0878	0x00F1      	MOVWF      R0+1
0x0879	0x118A      	BCF        PCLATH, 3
0x087A	0x231A      	CALL       _Div_16x16_S
0x087B	0x158A      	BSF        PCLATH, 3
0x087C	0x3030      	MOVLW      48
0x087D	0x0770      	ADDWF      R0, 0
0x087E	0x1703      	BSF        STATUS, 6
0x087F	0x00A9      	MOVWF      FARG_Lcd_Chr_out_char
0x0880	0x118A      	BCF        PCLATH, 3
0x0881	0x22E3      	CALL       _Lcd_Chr
0x0882	0x158A      	BSF        PCLATH, 3
0x0883	0x3002      	MOVLW      2
0x0884	0x00A7      	MOVWF      FARG_Lcd_Chr_row
0x0885	0x3002      	MOVLW      2
0x0886	0x00A8      	MOVWF      FARG_Lcd_Chr_column
0x0887	0x300A      	MOVLW      10
0x0888	0x00F4      	MOVWF      R4
0x0889	0x3000      	MOVLW      0
0x088A	0x00F5      	MOVWF      R4+1
0x088B	0x1683      	BSF        STATUS, 5
0x088C	0x1303      	BCF        STATUS, 6
0x088D	0x0844      	MOVF       _hrsA, 0
0x088E	0x00F0      	MOVWF      R0
0x088F	0x0845      	MOVF       _hrsA+1, 0
0x0890	0x00F1      	MOVWF      R0+1
0x0891	0x118A      	BCF        PCLATH, 3
0x0892	0x231A      	CALL       _Div_16x16_S
0x0893	0x158A      	BSF        PCLATH, 3
0x0894	0x0878      	MOVF       R8, 0
0x0895	0x00F0      	MOVWF      R0
